Codigo|Produtos|Codigo.Fiscal Regime Simples|Codigo.Fiscal Regime Normal|NCM|CST ICMS|CST PIS/ COFINS NA ENTRADA|CST PIS/ COFINS NA SAÍDA|CFOP
9571|FECH NOVARA TETRA OXI|83014000.5405.0500.0000|83014000.5405.0060.0000|8301.40.00|60|50|01|5405
660108|NUMERO APARTAMENTO L.0 (1)|83024100.5405.0500.0000|83024100.5405.0060.0000|8302.41.00|60|50|01|5405
660008|NUMERO APARTAMENTO L.D (0)|83021000.5405.0500.0000|83021000.5405.0060.0000|8310.00.00|60|50|01|5405
60008|NUMERO APARTAMENTO L.O (0)|83024100.5405.0500.0000|83024100.5405.0060.0000|8302.41.00|60|50|01|5405
60108|NUMERO APARTAMENTO L.O (1)|83024100.5405.0500.0000|83024100.5405.0060.0000|8302.41.00|60|50|01|5405
660208|NUMERO APARTAMENTO L.O (2)|83021000.5405.0500.0000|83021000.5405.0060.0000|8310.00.00|60|50|01|5405
660308|NUMERO APARTAMENTO L.O (3)|83021000.5405.0500.0000|83021000.5405.0060.0000|8310.00.00|60|50|01|5405
660408|NUMERO APARTAMENTO L.O (4)|83021000.5405.0500.0000|83021000.5405.0060.0000|8310.00.00|60|50|01|5405
660508|NUMERO APARTAMENTO L.O (5)|83021000.5405.0500.0000|83021000.5405.0060.0000|8310.00.00|60|50|01|5405
660608|NUMERO APARTAMENTO L.O (6)|83021000.5405.0500.0000|83021000.5405.0060.0000|8310.00.00|60|50|01|5405
660708|NUMERO APARTAMENTO L.O (7)|83021000.5405.0500.0000|83021000.5405.0060.0000|8310.00.00|60|50|01|5405
660808|NUMERO APARTAMENTO L.O (8)|83021000.5405.0500.0000|83021000.5405.0060.0000|8310.00.00|60|50|01|5405
660908|NUMERO APARTAMENTO L.O (9)|83024100.5405.0500.0000|83024100.5405.0060.0000|8302.41.00|60|50|01|5405
661108|NUMERO RESIDENCIAL L.0 (1)|83024100.5405.0500.0000|83024100.5405.0060.0000|8302.41.00|60|50|01|5405
661008|NUMERO RESIDENCIAL L.D (0)|83024100.5405.0500.0000|83024100.5405.0060.0000|8302.41.00|60|50|01|5405
661008 0|NUMERO RESIDENCIAL L.O (0)|83024100.5405.0500.0000|83024100.5405.0060.0000|8302.41.00|60|50|01|5405
661208|NUMERO RESIDENCIAL L.O (2)|83024100.5405.0500.0000|83024100.5405.0060.0000|8302.41.00|60|50|01|5405
661308|NUMERO RESIDENCIAL L.O (3)|83024100.5405.0500.0000|83024100.5405.0060.0000|8302.41.00|60|50|01|5405
661408|NUMERO RESIDENCIAL L.O (4)|83024100.5405.0500.0000|83024100.5405.0060.0000|8302.41.00|60|50|01|5405
661508|NUMERO RESIDENCIAL L.O (5)|83021000.5405.0500.0000|83021000.5405.0060.0000|8310.00.00|60|50|01|5405
661608|NUMERO RESIDENCIAL L.O (6)|83024100.5405.0500.0000|83024100.5405.0060.0000|8302.41.00|60|50|01|5405
661708|NUMERO RESIDENCIAL L.O (7)|83024100.5405.0500.0000|83024100.5405.0060.0000|8302.41.00|60|50|01|5405
661808|NUMERO RESIDENCIAL L.O (8)|83024100.5405.0500.0000|83024100.5405.0060.0000|8302.41.00|60|50|01|5405
661908|NUMERO RESIDENCIAL L.O (9)|83024100.5405.0500.0000|83024100.5405.0060.0000|8302.41.00|60|50|01|5405
4039|O.S.B. MULTIUSO 22MM 2,44X1,22|||4412.99.00|00|50|01|5102
4043|OCULOS PRT FERRARI OST|||DÚVIDA|NT|NT|NT|
4044|OLHO MAGICO LATONADO|||9002.90.00|00|50|01|5102
4045|OLHO MAGICO CROMADO|83024900.5102.0101.0000|83024900.5102.0000.2000|8302.49.00|00|50|01|5102
4072|PAP 03 ALM P/2 LADO 60CM|44188200.5405.0500.0000|44188200.5405.0060.0000|4418.20.00|00|50|01|5102
4073|PAP 03 ALM P/2 LADO 70CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4074|PAP 03 ALM P/2 LADO 80CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4075|PAP 04 ALM P/1 LADO 60CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4076|PAP 04 ALM P/1 LADO 70CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4077|PAP 04 ALM P/1 LADO 80CM|44188200.5405.0500.0000|44188200.5405.0060.0000|4418.20.00|00|50|01|5102
4078|PAP 04 ALM P/2 LADO 60CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4079|PAP 04 ALM P/2 LADO 70CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4080|PAP 04 ALM P/2 LADO 80CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4129|PAP 13 ALM P/1 LADO 60CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4130|PAP 13 ALM P/1 LADO 70CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4131|PAP 13 ALM P/1 LADO 80CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4132|PAP 13 ALM P/2 LADO 60CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4133|PAP 13 ALM P/2 LADO 70CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4134|PAP 13 ALM P/2 LADO 80CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4147|PAP 16 ALM P/1 LADO 60CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4148|PAP 16 ALM P/1 LADO 70CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4149|PAP 16 ALM P/1 LADO 80CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4150|PAP 16-60CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4151|PAP 16 ALM P/2 LADO 70CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4152|PAP 16 ALM P/2 LADO 80CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4153|PAP 78 2,10X0,80|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4154|PAP 17 2,10X0,70|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4155|PAP 17 2,10X0,80|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4159|PAP 18 ALM P/1 LADO 60CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4160|PAP 18 ALM P/1 LADO 70CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4161|PAP 18 ALM P/1 LADO 80CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4162|PAP 18 ALM P/2 LADO 60CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4163|PAP 18 ALM P/2 LADO 70CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4164|PAP 18 ALM P/2 LADO 80CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4177|PAP 21 ALM P/1 LADO 60CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4178|PAP 21 ALM P/1 LADO 70CM|44188200.5405.0500.0000|44188200.5405.0060.0000|4418.20.00|00|50|01|5102
4179|PAP 21 ALM P/1 LADO 80CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
4180|PAP 21 ALM P/2 LADO 60CM|44182000.5405.0500.0000|44182000.5405.0060.0000|4418.20.00|00|50|01|5102
