CHAVE TORX 25MM- UYUSTOOLS|2000004112318|UN|0.0100|11.4000|0.0100|0.0000|9.0000
CHAVE TORX 27MM - UYUSTOOLS|2000009212327|UN|0.0100|12.9000|0.0100|0.0000|8.0000
CHAVE TORX 30MM - UYUSTOOLS|2000000512334|UN|0.0100|15.0000|0.0100|0.0000|8.0000
PUXADOR RETANGULAR PONTEIRA ABS 352MM|1017352|UN|2.9000|8.7500|5.8000|0.0000|6.0000
TORNEIRA PLASTICA PAREDE HERC|7898059547651|UN|10.9700|21.9500|21.9400|0.0000|-1.0000
TORNEIRA PLASTICA  COM FILTRO HERC|7898059548481|UN|29.2600|58.5500|58.5200|0.0000|0.0000
BROCA P/ MADEIRA 16MM IRWIN|2000002142379|UN|0.0100|41.2000|0.0100|0.0000|998.0000
BROCA P/ CONCRETO 8MMX330MM IRWIN|2000050042386|UN|0.0100|40.0500|0.0100|0.0000|998.0000
BROCA P/ CONCRETO 12MMX330MM IRWIN|2000009042399|UN|0.0100|40.9000|0.0100|0.0000|98.0000
SERRA COPO JOGO C/6 (32-54MM) BESTFER|7899206166398|UN|9.6000|22.9000|0.0100|0.0000|2.0000
SERRA COPO JOGO C/11 (19-64) BESTFER|7899206165025|UN|18.1900|39.9000|0.0100|0.0000|-2.0000
CAVILHA 8X20 C/ 20 UNID.|433|UN|0.0100|2.0000|0.0100|0.0000|40.0000
CAVILHA 8X30 C/ 20 UNID.|434|UN|0.0100|2.0000|0.0100|0.0000|674.0000
CAVILHA 6X50 C/ 20 UNID.|441|UN|0.0100|2.0000|0.0100|0.0000|24.0000
LIXA FERRO GRÃO 100|LF100|UN|1.4700|3.5000|2.8000|0.0000|22.0000
CAVILHA 6X20 C/5 UNID.|462|UN|0.0100|2.0000|0.0100|0.0000|25.0000
LIXA FERRO GRÃO 040|LF40|UN|1.9000|3.8000|0.0100|0.0000|24.0000
LIXA FERRO GRÃO 180|LF180|UN|1.4700|3.5000|2.6000|0.0000|23.0000
FITA DE BORDO BRANCA TX 100MM C/ 20 METROS|F10020|UN|21.1900|42.4000|42.3800|0.0000|-11.0000
CAVILHA 6X30 C/ 20 UNID.|502|UN|0.0100|2.0000|0.0100|0.0000|-12.0000
PARAFUSO P/ MDF  6X80 UNID.|680U|UN|0.0100|0.3500|0.0100|0.0000|98631.0000
PARAFUSO P/ MDF  6X50 UNID.|650U|UN|0.0100|0.3500|0.0100|0.0000|3550.0000
PARAFUSO P/ MDF  6X45 UNID.|645U|UN|0.0100|0.3500|0.0100|0.0000|99149.0000
PARAFUSO P/ MDF  6X40 UNID.|640U|UN|0.0100|0.3500|0.0100|0.0000|98337.0000
PARAFUSO P/ MDF  6X35 UNID.|635U|UN|0.0100|0.3500|0.0100|0.0000|99268.0000
