  4647/3 - A-115 CAIXA CORREIO ATLANTA 15X25X12 MURO          |1|40.86|44.95|49|40.86|0|0
  7623/4 - A-116 CAIXA CORREIO ATLANTA 15X25X12 P/ MURO       |5|59.99|65.98|71.98|59.99|0|0
  3120/2 - ABRAC.MAXTOR 1/2X3/4                               |     101- |1.14|1.26|1.4|1.14|0|0
  3119/6 - ABRAC.MAXTOR 3/8X1/2                               |8|1.5|1.65|1.8|1.5|0|0
  3118/9 - ABRAC.MAXTOR 5/16X3/8                              |     218- |0.99|1.09|1.2|0.99|0|0
  3121/9 - ABRAC.MAXTOR 5/8X3/4                               |258|1.48|1.62|1.8|1.48|0|0
  4616/9 - ABRACADEIRA 1 1/2X2                                |21|3.9|4.29|4.7|3.9|0|0
  4614/5 - ABRACADEIRA 1/2X5/8                                |     114- |1.5|1.65|1.8|1.5|0|0
  4615/2 - ABRACADEIRA 1X1 1/2                                |0|3.48|3.82|4.2|3.48|0|0
  4618/3 - ABRACADEIRA 2 1/2X3                                |4|4.78|5.25|5.75|4.78|0|0
  4617/6 - ABRACADEIRA 2X2 1/2                                |40|4.25|4.68|5.1|4.25|0|0
  3638/2 - ABRACADEIRA 3 1/2X4                                |22|5.45|6|6.5|5.45|0|0
  3632/0 - ABRACADEIRA 3/4X1                                  |538|1.56|1.7|1.9|1.56|0|0
  3637/5 - ABRACADEIRA 3X3 1/2                                |45|5.05|5.56|6.1|5.05|0|0
  2759/5 - ABRACADEIRA 5/8X3/4                                |118|1.48|1.63|1.8|1.48|0|0
  3428/9 - ABRACADEIRA ANTENA UNIV                            |269|3.2|3.52|3.8|3.2|0|0
  5305/1 - ABRACADEIRA BR 100X2,5                             |     386- |0.07|0.08|0.1|0.07|0|0
  5304/4 - ABRACADEIRA BR 140X3,5                             |90|0.12|0.13|0.1|0.12|0|0
  5471/3 - ABRACADEIRA BRANCA 200X3,5                         |   6.776- |0.17|0.19|0.2|0.17|0|0
  5583/3 - ABRACADEIRA BRANCA 300X3,6 BRANCA                  |1374|0.3|0.33|0.36|0.3|0|0
  5474/4 - ABRACADEIRA BRANCA 370X7,0                         |2356|0.7|0.77|0.8|0.7|0|0
  3636/8 - ABRACADEIRA BRANCA T10 25X3,6                      |1580|0.22|0.23|0.3|0.22|0|0
  4466/0 - ABRACADEIRA BRANCA T14 35X4,8                      |743|0.42|0.46|0.5|0.42|0|0
  2758/8 - ABRACADEIRA BRANCA T6 15CMX3,2MM                   |     701- |0.12|0.14|0.1|0.12|0|0
   378/0 - ABRACADEIRA COPO 1                                 |      10- |1.99|2.19|2.39|1.99|0|0
   376/6 - ABRACADEIRA COPO 1 1/2                             |2942|3.45|3.8|4.1|3.45|0|0
   380/3 - ABRACADEIRA COPO 1 1/4                             |      19- |2.96|3.25|3.6|2.96|0|0
   375/9 - ABRACADEIRA COPO 1/2                               |67|2.17|2.38|2.6|2.17|0|0
  3391/6 - ABRACADEIRA COPO 2                                 |58|2.77|3.05|3.3|2.77|0|0
  1775/6 - ABRACADEIRA COPO 3/4                               |     213- |2|2.2|2.4|2|0|0
  2138/8 - ABRACADEIRA NYLON BR 200X3,5                       |3193|0.21|0.22|0.3|0.21|0|0
  6951/9 - ABRACADEIRA NYLON FOXLUX BR 280X4,8                |1000|0.28|0.3|0.33|0.28|0|0
  7773/6 - ABRACADEIRA NYLON GUEPAR 2,5X100                   |0|0.05|0.06|0.07|0.05|0|0
  7772/9 - ABRACADEIRA NYLON GUEPAR 3,6X200                   |0|0.12|0.13|0.14|0.12|0|0
  4541/4 - ABRACADEIRA NYLON PR 100X2,5                       |1382|0.06|0.06|0.1|0.06|0|0
  2139/5 - ABRACADEIRA NYLON PR 140X3,50                      |1965|0.13|0.14|0.2|0.13|0|0
  4542/1 - ABRACADEIRA NYLON PR 200X3,5                       |2883|0.17|0.19|0.2|0.17|0|0
  7771/2 - ABRACADEIRA NYLON PR GUEPAR 3,6X200                |0|0.12|0.13|0.14|0.12|0|0
  7770/5 - ABRACADEIRA NYLON PR GUEPAR 7,6X400                |0|0.65|0.71|0.78|0.65|0|0
  4219/2 - ABRACADEIRA P/LAMPADA FLUORESCENTE                 |46|1.78|1.97|2.18|1.78|0|0
  5473/7 - ABRACADEIRA PRETA 200X4,8                          |   1.524- |0.25|0.28|0.3|0.25|0|0
  5472/0 - ABRACADEIRA PRETA 370X7,0                          |399|0.7|0.77|0.8|0.7|0|0
  5584/0 - ABRACADEIRA PRETA 540X12,7                         |1402|2.9|3.19|3.5|2.9|0|0
  3635/1 - ABRACADEIRA PRETA T10 25X3,6                       |1032|0.22|0.23|0.3|0.22|0|0
